,amp
714,0.728760617
715,0.728760617
716,0.728760616
717,0.728760616
718,0.728760615
719,0.728760615
720,0.728760615
721,0.728760615
722,0.728760614
723,0.728760614
724,0.728760614
725,0.728760614
726,0.728760614
727,0.728760614
728,0.728760614
729,0.728760614
730,0.728760613
731,0.728760613
732,0.728760613
733,0.728760613
734,0.728760613
735,0.728760613
736,0.728760613
737,0.728760613
738,0.728760613
739,0.728760613
740,0.728760613
741,0.728760613
742,0.728760613
743,0.728760613
744,0.728760613
745,0.728760613
746,0.728760613
747,0.728760613
748,0.728760613
749,0.728760613
750,0.728760613
751,0.728760613
752,0.728760613
753,0.728760613
754,0.728760613
755,0.728760613
756,0.728760613
757,0.728760613
758,0.728760613
759,0.728760613
760,0.728760613
761,0.728760613
762,0.728760613
763,0.728760613
764,0.728760613
765,0.728760613
766,0.728760613
767,0.728760613
768,0.728760613
769,0.728760613
770,0.728760613
771,0.728760613
772,0.728760613
773,0.728760613
774,0.728760613
775,0.728760613
776,0.728760613
777,0.728760613
778,0.728760613
779,0.728760613
780,0.728760613
781,0.728760613
782,0.728760613
783,0.728760613
784,0.728760613
785,0.728760613
786,0.728760613
787,0.728760613
788,0.728760613
789,0.728760613
790,0.728760613
791,0.728760613
792,0.728760613
793,0.728760613
794,0.728760613
795,0.728760613
796,0.728760613
797,0.728760613
798,0.728760613
799,0.728760613
800,0.728760613
801,0.728760613
802,0.728760613
803,0.728760613
804,0.728760613
805,0.728760613
806,0.728760613
807,0.728760613
808,0.728760613
809,0.728760613
810,0.728760613
811,0.728760613
812,0.728760613
813,0.728760613
814,0.728760613
815,0.728760613
816,0.728760613
817,0.728760613
818,0.728760613
819,0.728760613
820,0.728760613
821,0.728760613
822,0.728760613
823,0.728760613
824,0.728760613
825,0.728760613
826,0.728760613
827,0.728760613
828,0.728760613
829,0.728760613
830,0.728760613
831,0.728760613
832,0.728760613
833,0.728760613
834,0.728760613
835,0.728760613
836,0.728760613
837,0.728760613
838,0.728760613
839,0.728760613
840,0.728760613
841,0.728760613
842,0.728760613
843,0.728760613
844,0.728760613
845,0.728760613
846,0.728760613
847,0.728760613
848,0.728760613
849,0.728760613
850,0.728760613
851,0.728760613
852,0.728760613
853,0.728760613
854,0.728760613
855,0.728760613
856,0.728760613
857,0.728760613
858,0.728760613
859,0.728760613
860,0.728760613
861,0.728760613
862,0.728760613
863,0.728760613
864,0.728760613
865,0.728760613
866,0.728760613
867,0.728760612
868,0.728760612
869,0.728760612
870,0.728760612
871,0.728760612
872,0.728760612
873,0.728760612
874,0.728760612
875,0.728760612
876,0.728760611
877,0.728760611
878,0.728760611
879,0.728760611
880,0.72876061
