,amp
460,7.39327280396038e-05
461,7.727843664738775e-05
462,8.056792448610178e-05
463,8.418789880628198e-05
464,8.776324564468327e-05
465,9.167911480529322e-05
466,9.556270933789916e-05
467,9.979766127421644e-05
468,0.0001040135003254302
469,0.00010859238187246309
470,0.00011316617368545762
471,0.0001181155963404263
472,0.00012307486891170803
473,0.00012842332017122857
474,0.00013379753519638908
475,0.00013957549560373442
476,0.00014539616911483826
477,0.00015163623588060086
478,0.00015793706419397585
479,0.00016467408082677316
480,0.00017149107412521173
481,0.00017876226610805026
482,0.0001861338877748103
483,0.00019397900656618853
484,0.00020194631958418216
485,0.0002104077920016289
486,0.00021901461304296482
487,0.00022813769897534226
488,0.00023743075915278435
489,0.00024726371664854786
490,0.00025729283033419637
491,0.00026788708787777306
492,0.00027870532954766896
493,0.0002901156664718675
494,0.0003017795552724968
495,0.00031406429104996415
496,0.00032663398342125036
497,0.00033985517450550913
498,0.0003533946656913015
499,0.0003676183115001654
500,0.00038219564595442243
501,0.0003974919029694269
502,0.00041317939306562015
503,0.00042962279885084013
504,0.0004464972530784365
505,0.0004641669585248692
506,0.00048230991921826823
507,0.0005012899311132723
508,0.0005207879204177881
509,0.0005411673527098453
510,0.0005621121297571674
511,0.0005839854649207866
512,0.0006064742916674087
513,0.0006299416513768635
514,0.0006540775685162153
515,0.0006792449950507536
516,0.0007051371078467327
517,0.0007321168547358608
518,0.0007598806288662301
519,0.0007887914618040182
520,0.0008185490297280298
521,0.0008495165376458323
522,0.0008813970142606058
523,0.0009145539304689645
524,0.0009486937394810613
525,0.0009841802731462308
526,0.0010207234837370741
527,0.0010586876607934874
528,0.00109778633348726
529,0.0011383843486786863
530,0.0011801988919751469
531,0.001223595469829727
532,0.0012682950065967566
533,0.0013146637723786055
534,0.0013624265155840261
535,0.0014119503763603601
536,0.001462964014852585
537,0.0015158355494333479
538,0.0015702976420976348
539,0.0016267195007918088
540,0.0016848378809749165
541,0.001745023193269977
542,0.0018070163809876636
543,0.0018711891723378537
544,0.0019372867953183963
545,0.002005682412157322
546,0.0020761256344238557
547,0.002148991176641852
548,0.002224033134498052
549,0.0023016278955095082
550,0.0023815341409353695
551,0.0024641300532619224
552,0.002549179003712289
553,0.002637061091949375
554,0.0027275444848612173
555,0.0028210113233512898
556,0.0029172346768616434
557,0.0030165988522822406
558,0.0031188819290639738
559,0.003224470506604966
560,0.003333147782407568
561,0.00344530277469279
562,0.0035607239086093644
563,0.003679802747444099
564,0.0038023330533977265
565,0.0039287090620754
566,0.0040587299821026705
567,0.004192792847652756
568,0.0043307024234052385
569,0.004472858667943142
570,0.004619072011081313
571,0.0047697454611894795
572,0.004924695220715369
573,0.005084327471880459
574,0.005248464297577767
575,0.005417515175420891
576,0.005591308174711595
577,0.005770256189102427
578,0.00595419337708645
579,0.006143536167912637
580,0.006338124910067491
581,0.006538379683838843
582,0.006744147126673188
583,0.006955851082314003
584,0.00717334457294548
585,0.007397055314767314
586,0.0076268428069214255
587,0.007863138742674072
588,0.008105809186040092
589,0.008355289908958778
590,0.008611453622972616
591,0.008874740274685492
592,0.009145029301647687
593,0.0094227649151352
594,0.009707833351927339
595,0.010000683172515915
596,0.010301207479510596
597,0.010609859260412316
598,0.01092653854373851
599,0.011251702815409687
600,0.01158525908242984
601,0.011927669392445791
602,0.01227884777665095
603,0.012639260898877033
604,0.013008829851639297
605,0.013388025961401836
606,0.013776777410062606
607,0.014175560223652208
608,0.014584309691304219
609,0.01500350656652761
610,0.015433093253652353
611,0.015873555249529287
612,0.016324842071780657
613,0.016787443965997354
614,0.017261317548625886
615,0.017746957807429097
616,0.01824432843233412
617,0.01875392913359998
618,0.01927573063629521
619,0.019810237341252337
620,0.020357426956369867
621,0.020917808527638623
622,0.021491366679740068
623,0.02207861504366791
624,0.02267954508090294
625,0.023294674932049377
626,0.023924002800368202
627,0.024568051244695133
628,0.025226825099382618
629,0.025900851235198252
630,0.026590140989544722
631,0.027295225421384045
632,0.02801612222727428
633,0.028753366513918438
634,0.02950698217443892
635,0.03027750820500558
636,0.031064974516032014
637,0.0318699238154001
638,0.032692391832920435
639,0.03353292479245943
640,0.03439156402586122
641,0.03526885905802502
642,0.03616485658593035
643,0.03708010920025972
644,0.038014668707432746
645,0.03896909050847843
646,0.03994343124217765
647,0.040938248844371604
648,0.04195360448905072
649,0.04299005835015473
650,0.0440476758188035
651,0.04512701898907523
652,0.046228157129639035
653,0.04735165391582334
654,0.048497582132729276
655,0.04966650667667095
656,0.05085850346629923
657,0.05207413823600338
658,0.05331348963451939
659,0.054577123829751745
660,0.055865121774306144
661,0.05717804964348126
662,0.05851599024603372
663,0.0598795093165562
664,0.061268691050236385
665,0.0626841002712987
666,0.064125822070658
667,0.0655944198695867
668,0.06708997914272684
669,0.06861306139627114
670,0.07016375195381232
671,0.07174260987272192
672,0.07334971977121454
673,0.07498563770264359
674,0.07665044700534022
675,0.07834470015339323
676,0.08006847861001998
677,0.0818223306752324
678,0.08360633532261592
679,0.0854210360643725
680,0.08726650875102401
681,0.08914329147414189
682,0.09105145630991691
683,0.09299153527856045
684,0.09496359601404752
685,0.09696816379710677
686,0.09900530113467804
687,0.10107552588457383
688,0.10317889472561143
689,0.10531591739474604
690,0.10748664402755075
691,0.10969157552737094
692,0.1119307547582077
693,0.11420467306429637
694,0.11651336529773977
695,0.11885731250691227
696,0.12123654078038064
697,0.12365152012331047
698,0.12610226710006883
699,0.1285892399164645
700,0.13111244484387663
701,0.13367232752524116
702,0.13626888316341046
703,0.13890254406914973
704,0.14157329359672233
705,0.14428154995071274
