"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+7.71700000000E+009, -3.20084601822E-001, +0.00000000000E+000
+7.71720000000E+009, -1.88713652204E-001, +0.00000000000E+000
+7.71740000000E+009, -3.05066582952E-001, +0.00000000000E+000
+7.71760000000E+009, -1.38926660142E-001, +0.00000000000E+000
+7.71780000000E+009, -1.95304498849E-001, +0.00000000000E+000
+7.71800000000E+009, -2.05813691694E-001, +0.00000000000E+000
+7.71820000000E+009, -3.16401496379E-001, +0.00000000000E+000
+7.71840000000E+009, -3.64652190501E-001, +0.00000000000E+000
+7.71860000000E+009, -9.24926336035E-002, +0.00000000000E+000
+7.71880000000E+009, -5.91521323016E-002, +0.00000000000E+000
+7.71900000000E+009, -3.17620130711E-001, +0.00000000000E+000
+7.71920000000E+009, -4.62046874587E-001, +0.00000000000E+000
+7.71940000000E+009, +6.12944965677E-003, +0.00000000000E+000
+7.71960000000E+009, -1.16651826165E-001, +0.00000000000E+000
+7.71980000000E+009, -2.60308326947E-001, +0.00000000000E+000
+7.72000000000E+009, -2.58388957227E-001, +0.00000000000E+000
+7.72020000000E+009, -8.27061289868E-002, +0.00000000000E+000
+7.72040000000E+009, -2.68479919815E-001, +0.00000000000E+000
+7.72060000000E+009, -2.93872418043E-001, +0.00000000000E+000
+7.72080000000E+009, -4.17998586136E-002, +0.00000000000E+000
+7.72100000000E+009, -1.23984684652E-001, +0.00000000000E+000
+7.72120000000E+009, -3.34876264189E-001, +0.00000000000E+000
+7.72140000000E+009, +2.41229057940E-002, +0.00000000000E+000
+7.72160000000E+009, -2.66417170605E-001, +0.00000000000E+000
+7.72180000000E+009, -4.42048348065E-001, +0.00000000000E+000
+7.72200000000E+009, -9.67037890872E-002, +0.00000000000E+000
+7.72220000000E+009, -5.25437317894E-002, +0.00000000000E+000
+7.72240000000E+009, +8.48104066255E-002, +0.00000000000E+000
+7.72260000000E+009, -2.30161443061E-003, +0.00000000000E+000
+7.72280000000E+009, -1.55248872117E-001, +0.00000000000E+000
+7.72300000000E+009, -5.03775012041E-003, +0.00000000000E+000
+7.72320000000E+009, -1.51705601552E-001, +0.00000000000E+000
+7.72340000000E+009, -6.55839179774E-002, +0.00000000000E+000
+7.72360000000E+009, -8.48876069048E-002, +0.00000000000E+000
+7.72380000000E+009, -1.76452347595E-001, +0.00000000000E+000
+7.72400000000E+009, -2.49034973824E-001, +0.00000000000E+000
+7.72420000000E+009, -6.22298962305E-002, +0.00000000000E+000
+7.72440000000E+009, +1.37575672630E-001, +0.00000000000E+000
+7.72460000000E+009, -6.20806632214E-002, +0.00000000000E+000
+7.72480000000E+009, -2.84945793482E-001, +0.00000000000E+000
+7.72500000000E+009, -6.61428762966E-002, +0.00000000000E+000
+7.72520000000E+009, -2.13918509939E-001, +0.00000000000E+000
+7.72540000000E+009, +2.05165315501E-002, +0.00000000000E+000
+7.72560000000E+009, -1.17288737258E-001, +0.00000000000E+000
+7.72580000000E+009, +1.35549349002E-002, +0.00000000000E+000
+7.72600000000E+009, +9.86839985804E-002, +0.00000000000E+000
+7.72620000000E+009, -2.04077744463E-001, +0.00000000000E+000
+7.72640000000E+009, -3.42742079072E-002, +0.00000000000E+000
+7.72660000000E+009, +4.79231121118E-003, +0.00000000000E+000
+7.72680000000E+009, +8.42728270848E-002, +0.00000000000E+000
+7.72700000000E+009, +1.36480352974E-001, +0.00000000000E+000
+7.72720000000E+009, +3.30941188991E-002, +0.00000000000E+000
+7.72740000000E+009, -1.33279312080E-001, +0.00000000000E+000
+7.72760000000E+009, +2.76797309888E-001, +0.00000000000E+000
+7.72780000000E+009, +1.00524536136E-001, +0.00000000000E+000
+7.72800000000E+009, +1.44851322057E-001, +0.00000000000E+000
+7.72820000000E+009, +6.57761084190E-002, +0.00000000000E+000
+7.72840000000E+009, +1.33196398651E-001, +0.00000000000E+000
+7.72860000000E+009, +6.42945588713E-002, +0.00000000000E+000
+7.72880000000E+009, +1.69713691718E-001, +0.00000000000E+000
+7.72900000000E+009, +2.53264912317E-001, +0.00000000000E+000
+7.72920000000E+009, +1.97743132402E-001, +0.00000000000E+000
+7.72940000000E+009, +2.03891416945E-001, +0.00000000000E+000
+7.72960000000E+009, +2.35507687397E-001, +0.00000000000E+000
+7.72980000000E+009, +2.44628641256E-001, +0.00000000000E+000
+7.73000000000E+009, +3.17501093012E-001, +0.00000000000E+000
+7.73020000000E+009, +1.29091956027E-001, +0.00000000000E+000
+7.73040000000E+009, +1.09000282540E-001, +0.00000000000E+000
+7.73060000000E+009, +3.15553508912E-001, +0.00000000000E+000
+7.73080000000E+009, +5.08047846437E-001, +0.00000000000E+000
+7.73100000000E+009, +2.57540347136E-001, +0.00000000000E+000
+7.73120000000E+009, +3.23469890108E-001, +0.00000000000E+000
+7.73140000000E+009, +2.55949462500E-001, +0.00000000000E+000
+7.73160000000E+009, +2.14974022656E-001, +0.00000000000E+000
+7.73180000000E+009, +2.55739883382E-001, +0.00000000000E+000
+7.73200000000E+009, +2.19315290436E-001, +0.00000000000E+000
+7.73220000000E+009, +2.64941552947E-001, +0.00000000000E+000
